numero_registro;produto (marca comercial);bula_pdf;fonte_pagina;praga_nome_comum;praga_nome_cientifico;dose_min;dose_max;dose_unidade;volume_calda_min;volume_calda_max;volume_calda_unidade;volume_calda_outros;num_max_aplicacoes;intervalo_aplicacao;culturas;n_registros;fonte_trecho;status;ok_humano (S/N);correcao
14324;Auin;14324.pdf;2;Mosca-branca;Bemisia tabaci raça B;1.5;1.5;L/ha;;;;;4;14 dias;Soja,Pepino;2;Eficiência agronômica Mosca-branca Bemisia tabaci raça B 1,5 ... comprovada para as culturas de soja e pepino;validado_bula;;
14324;Auin;14324.pdf;2;Ácaro-rajado;Tetranychus urticae;2.0;2.0;L/ha;;;;;6;3 a 4 dias;Morango;1;Ácaro-rajado Tetranychus urticae 2,0 ... Eficiência agronômica comprovada para a cultura do morango.;validado_bula;;
14517;Gr-Inn;14517.pdf;2;Cigarrinha das pastagens;Zulia entreriana;0.935;0.935;kg/ha;200.0;300.0;L/ha;;2;;Cana-de-açúcar,Pastagens;2;Cigarrinha das pastagens Zulia entreriana 2 0,935 kg p.c/ha 200-300;validado_bula;;
14517;Gr-Inn;14517.pdf;2;"Cigarrinha das pastagens; Cigarrinha dos capinzais";Deois flavopicta;15.0;15.0;kg/ha;200.0;300.0;L/ha;;2;;Cana-de-açúcar,Pastagens;2;"Cigarrinha das pastagens; Cigarrinha dos capinzais Deois flavopicta 2 15,00 kg p.c/ha 200-300";validado_bula;;
15418;Chrysogen;15418.pdf;3;Lagarta-falsa-medideira;Chrysodeixis includens;50.0;200.0;mL/ha;;;;"Terrestre: mínimo de 100 L/ha; Aérea (calda misturada em água): mínimo de 30 L/ha; Aérea (calda misturada em óleo, ultrabaixo volume): mínimo de 3 L/ha.";;;Culturas em que haja ocorrência do alvo biológico indicado;1;Lagarta-falsa-medideira | Chrysodeixis includens | 50 a 200 mL | 20,2 a 80,8 g.i.a.;validado_bula;;
1719;Topatudo;1719.pdf;10;Capim-carrapicho;Cenchrus echinatus;1.6;2.67;L/ha;50.0;200.0;L/ha;Aplicação aérea: 15 a 40 L/ha.;2;cerca de 15 dias;Milho geneticamente modificado;1;Milho Geneticamente Modificado Tolerante ao Glifosato -- tabela de doses;validado_bula;;
1719;Topatudo;1719.pdf;3;Carrapicho-de-carneiro;Acanthospermum hispidum;1.5;1.5;L/ha;50.0;200.0;L/ha;Aplicação aérea: 15 a 40 L/ha.;1;;Arroz,Milho,Soja,Trigo;4;Nome Comum | Nome Científico | (L/ha) | Aplicações -- tabela de plantas infestantes anuais/perenes para eliminação em pós-emergência em área cultivada, jato dirigido/protegido (tabela compartilhada na bula com Ameixa, Banana, Cacau, Café, Cana-de-açúcar, Citrus, Coco, Eucalipto, Fumo, Maçã, Mamão, Nectarina, Pêra, Pêssego, Pinus, Seringueira e Uva -- aqui extraída somente para Uva). [expansão: cabeçalho p.3 lista 22 culturas, incl. Trigo];validado;;
1719;Topatudo;1719.pdf;5;Cipó-cabeludo;Mikania cordifolia;5.0;5.0;L/ha;200.0;400.0;L/ha;"Aplicação aérea: 50 L/ha. Terrestre: tratorizado 200 a 300 L/ha; costal 300 a 400 L/ha.";1;;Pastagens;1;Nome Comum | Nome Científico | (L/ha) | Aplicações -- tabela de plantas infestantes anuais/perenes para eliminação em pós-emergência em área cultivada, jato dirigido/protegido (tabela compartilhada na bula com Ameixa, Banana, Cacau, Café, Cana-de-açúcar, Citrus, Coco, Eucalipto, Fumo, Maçã, Mamão, Nectarina, Pêra, Pêssego, Pinus, Seringueira e Uva -- aqui extraída somente para Uva). [expansão: cabeçalho p.3 lista 22 culturas, incl. Pastagens];validado_bula;;
1719;Topatudo;1719.pdf;6;Malva-branca;Sida cordifolia;2.0;3.0;L/ha;50.0;200.0;L/ha;Aplicação aérea: 15 a 40 L/ha.;1;;Arroz Irrigado;1;Tabela Arroz Irrigado -- Plantas Infestantes Anuais/Perenes Controladas;validado;;
1719;Topatudo;1719.pdf;7;Angiquinho;Aeschynomene rudis;3.0;3.0;L/ha;150.0;400.0;L/ha;Aplicação aérea: 10 a 20 L/ha (Micronair) ou 20 a 40 L/ha (barra).;1;;Algodão,Feijão;2;Tabela Algodão, Feijão -- Plantas Infestantes (Feijão);validado;;
1719;Topatudo;1719.pdf;7;Capim-braquiária;Brachiaria decumbens;2.5;4.0;L/ha;150.0;400.0;L/ha;Aplicação aérea: 10 a 20 L/ha (Micronair) ou 20 a 40 L/ha (barra).;1;;Feijão;1;Tabela Algodão, Feijão -- Plantas Infestantes (Feijão);validado;;
1719;Topatudo;1719.pdf;7;Tiririca;Cyperus rotundus;4.0;5.0;L/ha;150.0;400.0;L/ha;Aplicação aérea: 10 a 20 L/ha (Micronair) ou 20 a 40 L/ha (barra).;1;;Feijão;1;Tabela Algodão, Feijão -- Plantas Infestantes (Feijão);validado;;
1719;Topatudo;1719.pdf;7;Trevo;Trifolium repens;4.0;4.0;L/ha;50.0;200.0;L/ha;Aplicação aérea: 15 a 40 L/ha.;1;;Arroz;1;Nome Comum | Nome Científico | (L/ha) | Aplicações -- tabela de plantas infestantes anuais/perenes para eliminação em pós-emergência em área cultivada, jato dirigido/protegido (tabela compartilhada na bula com Ameixa, Banana, Cacau, Café, Cana-de-açúcar, Citrus, Coco, Eucalipto, Fumo, Maçã, Mamão, Nectarina, Pêra, Pêssego, Pinus, Seringueira e Uva -- aqui extraída somente para Uva). [expansão: cabeçalho p.3 lista 22 culturas, incl. Arroz];validado;;
1719;Topatudo;1719.pdf;8;Caruru-de-mancha;Amaranthus viridis;2.0;2.7;L/ha;50.0;200.0;L/ha;Aplicação aérea: 15 a 40 L/ha.;2;15 a 20 dias;Soja geneticamente modificada;1;Soja Geneticamente Modificada Tolerante ao Glifosato -- Aplicação Única ou Sequencial;validado_bula;;
195;Aminol 806;195.pdf;8;Corda-de-viola;Ipomoea aristolochiaefolia;1.0;1.5;L/ha;150.0;300.0;L/ha;;1;;Soja;1;Soja | ALVO BIOLÓGICO (20 espécies) | 1,0 a 1,5 L/ha | Terrestre: 150 a 300 L/ha | Máximo de 1 aplicação por ciclo;validado;;
195;Aminol 806;195.pdf;8;Mastruz;Lepidium virginicum;1.0;1.5;L/ha;150.0;300.0;L/ha;;1;;Soja;1;Soja | ALVO BIOLÓGICO (20 espécies) | 1,0 a 1,5 L/ha | Terrestre: 150 a 300 L/ha | Máximo de 1 aplicação por ciclo;validado;;
2710;Cigaral;2710.pdf;6;Broca-do-fumo;Faustinus cubae;360.0;360.0;g/ha;240.0;240.0;L/ha;;1;;Fumo;1;Broca-do-fumo (Faustinus cubae) |  |  | 252 | 360 (esguicho/drench);validado;;
2710;Cigaral;2710.pdf;6;Cigarrinha-das-raízes;Mahanarva fimbriolata;700.0;700.0;g/ha;100.0;180.0;L/ha;;1;;Cana-de-açúcar;1;Cana-de-açúcar | Cigarrinha-das-raízes (Mahanarva fimbriolata) | Sulco de plantio/Soqueira | 100 a 180 L/ha | 490 | 700;validado;;
2710;Cigaral;2710.pdf;6;Pulgão-verde;Myzus persicae;360.0;360.0;g/ha;40.0;40.0;L/50m2;;1;;Fumo;1;Pulgão-verde (Myzus persicae) | Rega do canteiro de mudas | 40 L de água/ 50 m2 | 252 | 360;manual_review;;
3003;SmartFresh;3003.pdf;2;;;20.0;50.0;mg/m3;;;;;1;;Goiaba;1;Goiaba 20,0 a 50,0;manual_review;;
3003;SmartFresh;3003.pdf;2;;;33.0;33.0;mg/m3;;;;;;;Mamão;1;Mamão 33,0 **;manual_review;;
303;Acarit;303.pdf;3;Ácaro Branco;Polyphagotarsonemus latus;1.0;1.5;L/ha;265.0;265.0;L/ha;;2;15 dias;Algodão;1;ALGODÃO | Ácaro Branco | Polyphagotarsonemus latus | 1,0 - 1,5 L/ha | Realizar no máximo 2 aplicações por ciclo com inte;validado_bula;;
303;Acarit;303.pdf;3;Ácaro da Leprose;Brevipalpus phoenicis;100.0;100.0;mL/100L;2000.0;2000.0;L/ha;;1;;Citros;1;CITROS | Ácaro da Leprose | Brevipalpus phoenicis | 100 mL/100 litros de água | Realizar no máximo 1 aplicação por ciclo;validado;;
30723;Glifomega 480 SL;30723.pdf;3;Capim-marmelada;Brachiaria plantaginea;0.5;1.0;L/ha;300.0;400.0;L/ha;;1;;Ameixa,Banana,Cacau,Café,Cana-de-açúcar,Citros,Maçã,Milho,Nectarina,Pera,Pêssego,Soja,Trigo,Uva,Pastagem,Pinus,Eucalipto;17;Capim-marmelada (Brachiaria plantaginea) | 0.5-1 | L/ha (produto comercial);validado_bula;;
30723;Glifomega 480 SL;30723.pdf;7;Capim-colonião;Panicum maximum;1.5;5.0;L/ha;300.0;400.0;L/ha;;1;;Soja;1;Capim-colonião (Panicum maximum) | 1.5-5 | L/ha (produto comercial);validado;;
315;Grant;315.pdf;4;Apaga-fogo;Alternanthera tenella;1.5;1.5;L/ha;200.0;400.0;L/ha;;1;;Milho;1;Milho | Apaga-fogo | Alternanthera tenella | 1,5 | 1 | Pulverização terrestre: 200 a 400;validado;;
315;Grant;315.pdf;5;Trapoeraba;Commelina benghalensis;1.0;1.5;L/ha;200.0;400.0;L/ha;;1;;Café,Soja;2;Soja (plantio direto) | Trapoeraba | Commelina benghalensis | 1 a 1,5 | 1 | Pulverização Terrestre: 200 a 400;validado;;
318;Glifosato Alta 480 SL;318.pdf;3;Capim-favorito;Rhynchelitrum repens;1.5;2.0;L/ha;80.0;400.0;L/ha;;1;;Ameixa,Arroz,Banana,Cacau,Café,Cana-de-açúcar,Citros,Eucalipto,Maçã,Milho,Nectarina,Pera,Pêssego,Pastagem,Pinus,Soja,Uva,Trigo;18;Capim-favorito (Rhynchelitrum repens) | 1.5-2 | L/ha (produto comercial);validado_bula;;
318;Glifosato Alta 480 SL;318.pdf;4;Carrapicho-rasteiro;Acanthospermum australe;1.5;1.5;L/ha;80.0;400.0;L/ha;;1;;Ameixa,Arroz,Banana,Cacau,Café,Cana-de-açúcar,Citros,Eucalipto,Maçã,Milho,Nectarina,Pera,Pêssego,Pastagem,Pinus,Soja,Uva,Trigo;18;Carrapicho-rasteiro (Acanthospermum australe) | 1.5 | L/ha (produto comercial);validado_bula;;
318;Glifosato Alta 480 SL;318.pdf;4;Quebra-pedra;Phyllantus tenellus;2.0;2.0;L/ha;80.0;400.0;L/ha;;1;;Ameixa,Arroz,Banana,Cacau,Café,Cana-de-açúcar,Citros,Eucalipto,Maçã,Milho,Nectarina,Pera,Pêssego,Pastagem,Pinus,Soja,Uva,Trigo;18;Quebra-pedra (Phyllantus tenellus) | 2 | L/ha (produto comercial);validado_bula;;
318;Glifosato Alta 480 SL;318.pdf;8;Eliminação de soqueira - cultivar CO/CP (equipamento convencional);;5.0;5.0;L/ha;80.0;400.0;L/ha;;1;;Cana-de-açúcar;1;CO/CP | 5 EQ.CONV. | Aplicação terrestre: 80-400;validado_bula;;
3214;Fipronil Alta 250 FS;3214.pdf;4;Bicheira-da-raiz;Oryzophagus oryzae;120.0;150.0;mL/100kg sementes;;;;Se necessário, diluir 1 L do produto em 1 L de água. Utilizar 0,24 a 0,30 mL de calda para 100 kg de sementes.;1;;Arroz;1;Arroz | Bicheira-da-raiz (Oryzophagus oryzae) | 120-150;validado;;
3214;Fipronil Alta 250 FS;3214.pdf;4;Coró;Phyllophaga cuyabana;40.0;50.0;mL/100kg sementes;;;;Se necessário, diluir 1 L do produto em 1 L de água. Utilizar 0,08 a 0,10 L de calda inseticida por hectare de milho.;1;;Milho;1;Milho | Phyllophaga Coró (Phyllophaga cuyabana ) | 40-50;validado;;
34623;Diquate 200 SL Dezhou I;34623.pdf;2;;;1.0;2.0;L/ha;;;;"Pulverizador de barra tratorizado: 200 a 300 L de água/ha; aplicação aérea: 30 a 40 L de água/ha.";1;;Soja;1;Soja 1 a 2 200 a 400 Aplicar quando a soja estiver fisiologicamente madura.;manual_review;;
34623;Diquate 200 SL Dezhou I;34623.pdf;3;;;1.5;2.5;L/ha;;;;"Pulverizador de barra tratorizado: 200 a 300 L de água/ha; aplicação aérea: 30 a 40 L de água/ha.";1;;Café,Citros;2;Citros entrelinhas. [dose compartilhada com a linha de Café: 1,5 a 2,5 L/ha / 300 a 500 g];manual_review;;
4114;Metribuzim 480 SC Agroimport;4114.pdf;3;;;0.75;1.5;L/ha;200.0;400.0;L/ha;;1;;Batata;1;BATATA | 0,75 – 1,5 | Pré-emergência | 200 – 400;manual_review;;
4114;Metribuzim 480 SC Agroimport;4114.pdf;3;;;3.0;4.0;L/ha;200.0;400.0;L/ha;Aplicação aérea: 20 L/ha.;1;;Cana-de-açúcar;1;CANA-DE-AÇÚCAR | 3,0 – 4,0 | Pré-emergência | 200 – 400;manual_review;;
4210;Tacora 250 EW;4210.pdf;4;Septoriose;Septoria lycopersici;0.8;0.8;L/ha;600.0;1000.0;L/ha;;4;14 dias;Tomate;1;Septoriose (Septoria lycopersici) | 0,8 | 80;validado;;
4210;Tacora 250 EW;4210.pdf;5;Mancha-amarela;Drechslera tritici-repentis;0.6;0.6;L/ha;200.0;300.0;L/ha;;2;15 dias após a 1ª aplicação;Trigo;1;Mancha-amarela (Drechslera tritici-repentis) | 0,6 | -;validado;;
5102;Ethylbloc;5102.pdf;2;;Dendranthema grandiflora;0.5;1.0;g/m3;;;;;1;;Crisântemo;1;Crisântemo | Dendranthema grandiflora | 0,5 a 1,0;validado_bula;;
5102;Ethylbloc;5102.pdf;2;;Dendranthema grandiflora;1.0;1.5;g/m3;;;;;1;;Crisântemo;1;Crisântemo | Dendranthema grandiflora | 1,0 a 1,5;validado_bula;;
6214;Imazacure 500 EC;6214.pdf;2;Antracnose;Colletotrichum musae;200.0;200.0;mL/100L;;;;;1;;Banana;1;Utilizar a dose de 200 mL para cada 100 L de água (imersão dos frutos).;validado;;
6214;Imazacure 500 EC;6214.pdf;2;Bolor-verde;Penicillum digitatum;200.0;200.0;mL/100L;;;;;1;;Citros;1;Utilizar a dose de 200 mL para cada 100 L de água (imersão dos frutos).;validado;;
7815;Armigen;7815.pdf;3;Lagarta Helicoverpa;Helicoverpa armigera;50.0;200.0;mL/ha;;;;"Aplicação terrestre: volume mínimo de 100 L/ha; aplicação aérea (calda em água): volume mínimo de 30 L/ha; aplicação aérea de calda misturada em óleo (ultrabaixo volume): volume mínimo de 3 L/ha.";;;Todas as culturas em que haja ocorrência do alvo biológico indicado;1;Lagarta Helicoverpa | Helicoverpa armigera | Produto Comercial 50 a 200 mL | Ingrediente Ativo 20,2 a 80,8 g.i.a.;validado_bula;;
798;Redshield 750;798.pdf;4;Requeima;Phytophthora infestans;0.9;1.8;kg/ha;500.0;1000.0;L/ha;;6;7 dias ou conforme necessidade;Batata;1;Batata | Requeima (Phytophthora infestans) | 0.9-1.8 kg/ha;validado;;
798;Redshield 750;798.pdf;5;Ferrugem;Puccinia allii;120.0;120.0;g/100L;500.0;1000.0;L/ha;;7;7 dias ou conforme a necessidade;Cebola;1;Cebola | Ferrugem (Puccinia allii) | 120 g/100L;validado;;
821;Herbimax 806 SL;821.pdf;4;Amendoim-bravo, Leiteira;Euphorbia heterophylla;1.0;1.5;L/ha;150.0;300.0;L/ha;;1;;Soja;1;Amendoim-bravo, Leiteira (Euphorbia heterophylla) | [dose herdada: 1-1,5 L/ha];validado;;
821;Herbimax 806 SL;821.pdf;5;Nabo-bravo, Nabiça, Nabo, Rabanete-de-cavalo;Raphanus raphanistrum;1.0;1.5;L/ha;200.0;200.0;L/ha;;1;;Trigo;1;Nabo-bravo, Nabiça, Nabo, Rabanete-de-cavalo (Raphanus raphanistrum) | [dose herdada: 1-1,5 L/ha];validado;;
8514;"Gliforte; Effex; Glister SP; Glifozap; Gliboa Forte";8514.pdf;3;Grama-seda;Cynodon dactylon;3.0;3.0;kg/ha;;;;"Aplicação terrestre: volume de água entre 50 e 250 L/ha; aplicação aérea: volume de calda de 20 a 40 L/ha.";1;;Café,Citros,Uva,Pinus,Eucalipto,Algodão,Arroz,Cana-de-açúcar,Milho,Pastagens,Soja,Trigo;12;Grama-seda | Cynodon dactylon | * | Pré-Florescimento | 3.0-3.0;validado_bula;;
8514;"Gliforte; Effex; Glister SP; Glifozap; Gliboa Forte";8514.pdf;4;Caruru-de-mancha;Amaranthus viridis;1.5;1.5;kg/ha;;;;"Aplicação terrestre: volume de água entre 50 e 250 L/ha; aplicação aérea: volume de calda de 20 a 40 L/ha.";1;;Café,Citros,Uva,Pinus,Eucalipto,Algodão,Arroz,Cana-de-açúcar,Milho,Pastagens,Soja,Trigo;12;Caruru-de-mancha | Amaranthus viridis | Até 15 cm | 0.75-1.0 | Pré-Florescimento | 1.5-1.5;validado_bula;;
8514;"Gliforte; Effex; Glister SP; Glifozap; Gliboa Forte";8514.pdf;4;Soqueira de cana-de-açúcar;Saccharum officinarum;2.5;2.5;kg/ha;;;;"Aplicação terrestre: volume de água entre 50 e 250 L/ha; aplicação aérea: volume de calda de 20 a 40 L/ha.";1;;Cana-de-açúcar;1;Eliminação de soqueiras | Cana-de-açúcar | Saccharum officinarum | Até 60 cm | 2,50 | Até 80 cm | 3,00;validado;;
8514;"Gliforte; Effex; Glister SP; Glifozap; Gliboa Forte";8514.pdf;5;Nabo;Raphanus raphanistrum;0.5;1.5;kg/ha;;;;"Aplicação terrestre: volume de água entre 50 e 250 L/ha; aplicação aérea: volume de calda de 20 a 40 L/ha.";2;18 a 21 dias;Soja geneticamente modificada;1;TABELA 4 (soja GM, seq.) | Nabo | Raphanus raphanistrum | Até 4 folhas | dose (kg/ha, ver bula: formato X/X a Y/Y);validado_bula;;
9321;Oriento;9321.pdf;3;;;300.0;750.0;mL/ha;200.0;200.0;L/ha;;2;15 dias;Algodão;1;ALGODÃO | Pulverização foliar | 300 a 750 mL/ha | 200 L/ha | ... | 2;manual_review;;
9321;Oriento;9321.pdf;3;;;250.0;750.0;mL/ha;200.0;200.0;L/ha;;1;;Batata;1;BATATA | Sulco de plantio | 250 a 750 mL/ha | 200 L/ha | ... | 1;manual_review;;
938900;Krovar;938900.pdf;3;Capim-colchão ou capim-de-roça;Digitaria horizontalis;2.0;4.0;kg/ha;;;;"Volume de aplicação: 250 a 400 L de calda/ha em pré-emergência; 350 a 800 L de calda/ha em pós-emergência.";1;Não aplicar mais que 4,0 kg/ha de Krovar por período de 12 meses.;Citros;1;"Citros: Aplicar em pré ou pós-emergência inicial em pomar a partir de um ano de idade, evitando-se atingir folhas e frutos das plantas. Não aplicar mais que 4,0 kg/ha de Krovar por período de 12 meses, conforme segue: Tipo de solo | Pré-emergência (kg p.c./ha) | Pós-emergência (kg p.c./ha) — Arenoso 2,0–3,0 / 4,0; Médio 3,0 / 4,0; Argiloso 3,0–4,0 / 4,0.";validado;;
938900;Krovar;938900.pdf;3;Capim-favorito;Rhychelitrum repens;1.0;4.0;kg/ha;;;;"Volume de aplicação: 250 a 400 L de calda/ha em pré-emergência; 350 a 800 L de calda/ha em pós-emergência.";1;;Abacaxi;1;Abacaxi e Citros | Capim-favorito | Rhychelitrum repens | 1 – 4 kg/ha* | Realizar uma única aplicação;validado;;
9620;"B.fresh; FreshVue";9620.pdf;2;;Cucumis melo;40.0;40.0;mg/m3;;;;;1;;Melão;1;Melão | Cucumis melo | 40.0 | Realizar uma única aplicação;validado_bula;;
9620;"B.fresh; FreshVue";9620.pdf;2;;Musa sp;0.7;6.0;mg/m3;;;;;1;;Banana;1;Banana | Musa sp | 0,7 a 6,0 | Realizar uma única aplicação;validado_bula;;
